127.0.0.1 - admin [11/Jan/2024:23:24:53 -0200] "GET /manager/text/list HTTP/1.1" 200 266
127.0.0.1 - admin [11/Jan/2024:23:24:53 -0200] "GET /manager/text/list HTTP/1.1" 200 266
127.0.0.1 - admin [11/Jan/2024:23:24:54 -0200] "GET /manager/text/undeploy?path=%2Ftasks-backend HTTP/1.1" 200 73
127.0.0.1 - admin [11/Jan/2024:23:25:36 -0200] "PUT /manager/text/deploy?path=%2Ftasks-backend HTTP/1.1" 200 101
127.0.0.1 - admin [11/Jan/2024:23:27:23 -0200] "GET /manager/text/list HTTP/1.1" 200 266
127.0.0.1 - admin [11/Jan/2024:23:27:23 -0200] "GET /manager/text/list HTTP/1.1" 200 266
127.0.0.1 - admin [11/Jan/2024:23:27:24 -0200] "GET /manager/text/undeploy?path=%2Ftasks-backend HTTP/1.1" 200 73
127.0.0.1 - admin [11/Jan/2024:23:27:52 -0200] "PUT /manager/text/deploy?path=%2Ftasks-backend HTTP/1.1" 200 101
127.0.0.1 - admin [11/Jan/2024:23:39:01 -0200] "GET /manager/text/list HTTP/1.1" 200 266
127.0.0.1 - admin [11/Jan/2024:23:39:01 -0200] "GET /manager/text/list HTTP/1.1" 200 266
127.0.0.1 - admin [11/Jan/2024:23:39:02 -0200] "GET /manager/text/undeploy?path=%2Ftasks-backend HTTP/1.1" 200 73
127.0.0.1 - admin [11/Jan/2024:23:39:38 -0200] "PUT /manager/text/deploy?path=%2Ftasks-backend HTTP/1.1" 200 101
